self_control,resting_HR,aggression
2.1,66,3
1.9,89,7
2,72,4
2.6,66,5
2.2,79,6
2.5,76,8
2.2,69,6
2,87,7
3,73,6
2.2,65,5
1.7,89,5
2,90,7
2.6,91,5
2.6,53,9
2.4,69,8
2.3,67,4
2.4,78,8
1.9,66,6
2.3,71,5
2.6,89,6
2.4,94,7
3.2,84,8
3.2,75,10
3,91,5
1.7,70,5
2.2,84,12
2.6,86,5
1.5,84,3
2.9,78,6
2.5,82,6
1.9,89,4
2,72,5
2.555555556,53,6
1.8,70,7
2.5,64,5
2.7,61,7
1.7,60,5
2.6,65,4
2,78,5
2.6,73,6
2.2,72,4
3.1,63,11
2.8,72,10
3.1,78,5
1.4,70,3
2.9,58,9
2.3,90,5
2.3,63,4
2.4,80,9
2.6,91,5
2.2,68,6
2.4,62,6
2.1,75,6
2.1,75,6
1.9,78,6
2.9,71,8
1.6,56,5
2.2,62,7
2.7,70,4
2,104,8
2,80,5
2.9,95,10
2.6,90,5
2,67,9
2.1,84,9
2.2,69,4
2,71,5
2,65,5
2.7,67,6
2.5,87,6
2,90,4
2,61,3
2.3,68,4
2,70,4
1.444444444,68,4
3,70,8
1.7,68,5
2.8,72,9
2.1,95,6
2.5,103,7
2.5,60,6
2.4,75,6
2.3,72,5
1.8,77,7
2.1,75,5
2.8,98,7
2.5,81,8
2.5,73,7
2.1,73,4
2.7,70,10
2.4,72,5
2.3,68,8
2.5,79,6
1.9,63,4
2.8,56,5
2.666666667,68,4
2.2,68,7
2.2,71,5
2.1,75,5
2.6,68,7
2.3,62,6
1.7,83,6
2.6,71,6
2.3,46,6
2.6,91,4
2.3,76,4
2.5,66,7
2.4,81,8
3.3,63,5
2.2,98,7
2.3,64,8
1.9,62,4
2.2,64,5
2.4,65,5
2.5,66,6
2,62,6
2.7,63,6
2.8,75,6
1.2,75,4
1.7,58,6
1.9,101,4
2.6,69,5
2.6,88,8
1.8,67,4
2.3,72,6
2.5,71,5
2.3,90,4
2,72,3
2.8,84,6
2.7,69,4
2.2,97,3
2.333333333,79,4
2.8,71,8
2.3,81,7
2.4,74,7
1.4,57,4
2.8,94,9
2.1,71,5
2.4,82,5
2.5,71,8
1.9,53,5
1.6,88,6
2.2,60,4
2.3,64,3
2.222222222,76,8
2.5,57,8
2.5,86,7
1.7,78,3
2.4,62,4
2,80,9
2.8,74,7
2.2,70,6
2.2,86,7
2.4,85,4
2.3,72,5
2.2,73,7
1.9,72,5
1.8,91,5
2.3,71,7
2.5,95,7
2.5,69,9
1.8,68,12
2.9,71,9
2.8,58,11
3.1,88,10
1.8,81,5
2.1,80,6
2.1,63,7
2.2,81,5
2.5,106,4
2.7,87,9
1.7,93,4
2.5,103,4
2.2,72,4
1.9,83,7
2.1,76,5
1.8,99,5
2.5,80,4
2.3,77,7
1.9,81,4
3.7,70,10
2.3,62,8
2.4,85,9
2.4,77,5
1.3,100,3
2.5,65,5
2.5,68,5
2,86,6
2,68,5
2.3,91,6
2.4,58,4
2.1,88,5
2.3,55,9
2.5,90,14
2,74,6
2.2,69,6
1.6,89,4
2,92,4
2.8,66,4
2.4,82,6
2.3,77,9
2.1,69,5
2.3,72,6
2.2,67,6
2.1,79,7
2.4,77,6
2,70,5
2.3,69,6
2.111111111,83,6
2.333333333,96,10
1.8,82,6
2.777777778,61,8
1.9,62,5
2.5,59,9
3.375,88,10
2.5,78,5
1.4,78,3
2,71,4
2,72,6
2.6,56,5
2.4,54,6
2,68,5
2.4,80,5
3.2,90,7
2.2,74,6
2.6,85,6
1.8,94,5
2.2,78,7
2.2,70,6
2,99,6
1.9,79,5
2.4,60,4
2,83,5
2.2,54,4
2.4,86,7
2.3,75,6
3.2,86,11
2.3,61,7
2.7,87,4
1.2,101,3
2.1,98,7
2.4,72,9
1.9,95,5
2.2,61,3
2.6,96,5
2.1,70,5
2.5,52,10
1.5,74,7
2.6,71,8
3.1,79,7
2.1,71,5
3,63,8
2.2,94,6
1.4,70,3
2.6,69,3
2.5,77,7
1.6,80,6
2.1,84,4
2.3,50,5
2.8,78,7
3.5,69,11
1.6,85,5
2,95,7
1.8,70,4
2.1,82,5
2.9,73,9
2,67,5
2.2,81,9
2.6,87,4
2.1,82,5
2.3,77,4
1.9,58,6
2.5,62,4
2.3,75,7
2.4,78,11
2.3,62,7
1.5,76,5
2.5,75,5
1.5,83,4
2.2,96,6
2.2,67,5
2.3,88,8
2.2,74,5
1.9,91,6
2.2,57,8
1.6,76,4
2.3,70,9
1.8,63,4
1.9,68,4
2.4,69,11
2,94,4
3,75,8
2.2,69,5
2.7,65,7
3.3,76,6
2.8,77,5
1.6,78,5
3.2,89,8
2.1,77,6
2.2,71,7
3.1,81,7
2.1,70,4
1.9,73,3
2.5,68,8
1.9,71,4
2.4,70,5
2.4,67,9
2,73,5
1.9,92,5
1.6,82,4
1.8,85,3
2.3,69,5
2.7,90,6
2.6,87,8
2.333333333,63,4
2.2,68,7
2.2,70,7
1.9,73,5
2.2,78,6
2.3,59,4
2.3,83,4
2.1,62,5
2.3,63,4
2.7,57,6
2.3,85,5
2.8,71,7
2.2,83,8
2.3,66,6
2.6,66,6
3.1,89,7
1.9,92,5
1.8,64,4
1.5,76,4
2.3,78,7
1.5,64,4
1.6,77,4
1.7,64,6
2.5,74,6
2.3,95,5
2.2,83,7
2.9,74,14
3.3,90,10
2.3,91,4
2.2,92,3
1.5,89,4
2.1,70,5
2.6,74,8
1.4,71,3
2,89,7
2.3,86,4
3.3,88,4
1.8,92,5
2.4,82,7
2.4,72,5
1.9,71,3
2.3,71,6
2.3,63,4
2.1,81,7
3,58,13
3.7,79,8
2,63,9
2.4,80,6
2.5,57,6
2.5,73,6
2.5,62,4
2,87,5
2.2,87,3
2.2,68,6
1.9,65,5
2,70,5
2.4,64,6
1.7,80,6
2.6,80,5
2.6,76,10
2,68,7
2.6,83,5
2.8,77,6
2.1,92,7
2,63,4
2.1,81,6
1.5,77,6
2,90,6
2.1,63,7
2.1,55,6
2.6,69,9
2.444444444,70,4
1.8,75,5
1.8,63,6
2.5,57,5
1.9,89,3
2.4,67,7
2.4,77,9
2.1,70,7
2.7,75,8
2.6,79,10
3.1,90,13
1.8,73,6
1.7,79,4
2.4,82,8
1.6,90,5
1.3,77,5
2.666666667,65,9
2.5,61,5
3,73,4
2.4,82,5
2,58,6
2.3,80,7
1.6,84,4
2.1,82,7
2,67,3
2.6,62,6
2.3,90,4
2.3,88,9
2.2,66,7
2.222222222,80,7
2,89,3
2,90,4
2,75,6
2.4,77,7
3.1,69,5
2.1,69,6
1.2,76,3
